2019-05-06T10:12:22.026+0600 I CONTROL  [initandlisten] MongoDB starting : pid=8814 port=27017 dbpath=/Users/bs236/Documents/PracticeWorkspace/Database/MongoDB - The Complete Developers Guide/db 64-bit host=BS236s-Mac-mini.local
2019-05-06T10:12:22.027+0600 I CONTROL  [initandlisten] db version v3.4.18
2019-05-06T10:12:22.027+0600 I CONTROL  [initandlisten] git version: 4410706bef6463369ea2f42399e9843903b31923
2019-05-06T10:12:22.027+0600 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zh 14 Jan 2016
2019-05-06T10:12:22.027+0600 I CONTROL  [initandlisten] allocator: system
2019-05-06T10:12:22.027+0600 I CONTROL  [initandlisten] modules: none
2019-05-06T10:12:22.027+0600 I CONTROL  [initandlisten] build environment:
2019-05-06T10:12:22.027+0600 I CONTROL  [initandlisten]     distarch: x86_64
2019-05-06T10:12:22.027+0600 I CONTROL  [initandlisten]     target_arch: x86_64
2019-05-06T10:12:22.027+0600 I CONTROL  [initandlisten] options: { storage: { dbPath: "/Users/bs236/Documents/PracticeWorkspace/Database/MongoDB - The Complete Developers Guide/db" }, systemLog: { destination: "file", path: "/Users/bs236/Documents/PracticeWorkspace/Database/MongoDB - The Complete Developers Guide/logs/log.log" } }
2019-05-06T10:12:22.027+0600 I -        [initandlisten] Detected data files in /Users/bs236/Documents/PracticeWorkspace/Database/MongoDB - The Complete Developers Guide/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2019-05-06T10:12:22.027+0600 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=7680M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),verbose=(recovery_progress),
2019-05-06T10:12:22.257+0600 I STORAGE  [initandlisten] WiredTiger message [1557115942:257154][8814:0x7fffa1e8e380], txn-recover: Main recovery loop: starting at 1/16768
2019-05-06T10:12:22.406+0600 I STORAGE  [initandlisten] WiredTiger message [1557115942:406587][8814:0x7fffa1e8e380], txn-recover: Recovering log 1 through 2
2019-05-06T10:12:22.502+0600 I STORAGE  [initandlisten] WiredTiger message [1557115942:502264][8814:0x7fffa1e8e380], txn-recover: Recovering log 2 through 2
2019-05-06T10:12:22.673+0600 I CONTROL  [initandlisten] 
2019-05-06T10:12:22.673+0600 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2019-05-06T10:12:22.673+0600 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2019-05-06T10:12:22.673+0600 I CONTROL  [initandlisten] 
2019-05-06T10:12:22.673+0600 I CONTROL  [initandlisten] 
2019-05-06T10:12:22.673+0600 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2019-05-06T10:12:22.676+0600 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/Users/bs236/Documents/PracticeWorkspace/Database/MongoDB - The Complete Developers Guide/db/diagnostic.data'
2019-05-06T10:12:22.676+0600 I NETWORK  [thread1] waiting for connections on port 27017
2019-05-06T10:12:48.190+0600 I NETWORK  [thread1] connection accepted from 127.0.0.1:62425 #1 (1 connection now open)
2019-05-06T10:12:48.190+0600 I NETWORK  [conn1] received client metadata from 127.0.0.1:62425 conn1: { application: { name: "robo3t" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-10-g865d2fb" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.7.0" } }
2019-05-06T10:13:50.561+0600 I NETWORK  [thread1] connection accepted from 127.0.0.1:62688 #2 (2 connections now open)
2019-05-06T10:13:50.561+0600 I NETWORK  [conn2] received client metadata from 127.0.0.1:62688 conn2: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-10-g865d2fb" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.7.0" } }
2019-05-06T10:14:20.721+0600 I CONTROL  [signalProcessingThread] got signal 2 (Interrupt: 2), will terminate after current cmd ends
2019-05-06T10:14:20.721+0600 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
2019-05-06T10:14:20.721+0600 I NETWORK  [signalProcessingThread] closing listening socket: 7
2019-05-06T10:14:20.722+0600 I NETWORK  [signalProcessingThread] closing listening socket: 8
2019-05-06T10:14:20.722+0600 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
2019-05-06T10:14:20.722+0600 I NETWORK  [signalProcessingThread] shutdown: going to flush diaglog...
2019-05-06T10:14:20.722+0600 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
2019-05-06T10:14:20.725+0600 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
2019-05-06T10:14:20.827+0600 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
2019-05-06T10:14:20.828+0600 I CONTROL  [signalProcessingThread] now exiting
2019-05-06T10:14:20.828+0600 I CONTROL  [signalProcessingThread] shutting down with code:0
2019-05-06T10:14:20.828+0600 I CONTROL  [initandlisten] shutting down with code:0
